PROJECT,CLASS,COUPLING
spring-data-examples,BasicConfiguration,8
spring-data-examples,User,11
spring-data-examples,ConverterConfiguration,14
spring-data-examples,ProjectionConfiguration,5
spring-data-examples,CassandraConfiguration,5
spring-data-examples,PersonRepository,3
spring-data-examples,CassandraVersion,5
spring-data-examples,RequiresCassandraKeyspace,9
spring-data-examples,ApplicationConfiguration,8
spring-data-examples,Conference,6
spring-data-examples,Application,8
spring-data-examples,Customer,3
spring-data-examples,AuditingConfiguration,4
spring-data-examples,AuditorAwareImpl,3
spring-data-examples,CachingConfiguration,7
spring-data-examples,User,3
spring-data-examples,UserRepositoryImplJdbc,8
spring-data-examples,UserRepositoryImpl,5
spring-data-examples,ExtendedJpaRepository,7
spring-data-examples,CustomerRepository,2
spring-data-examples,Customer,5
spring-data-examples,CustomerConfig,8
spring-data-examples,Order,11
spring-data-examples,OrderConfig,8
spring-data-examples,DataInitializer,11
spring-data-examples,SpecialUser,4
spring-data-examples,BusinessObject,7
spring-data-examples,SecurityConfiguration,4
spring-data-examples,CustomerServiceImpl,7
spring-data-examples,AccountServiceImpl,8
spring-data-examples,Account,6
spring-data-examples,Customer,10
spring-data-examples,LineItem,4
spring-data-examples,OrderRepositoryImpl,8
spring-data-examples,BlogPost,5
spring-data-examples,MongoTestConfiguration,8
spring-data-examples,Actor,8
spring-data-examples,RedisSentinelApplication,12
spring-data-examples,Person,4
spring-data-examples,RequiresRedisSentinel,10
spring-data-examples,EmbeddedRedisServer,3
spring-data-examples,RequiresRedisServer,3
spring-data-examples,Address,4
spring-data-examples,Order,7
spring-data-examples,Employee,6
spring-data-examples,Item,5
spring-data-examples,SecurityUtils,0
spring-data-examples,Store,3
spring-data-examples,StoreRepository,4
spring-data-examples,StoreInitializer,10
spring-data-examples,StoresController,16
spring-data-examples,UserEntityLookup,8
spring-data-examples,SpringDataRestCustomization,3
spring-data-examples,ProductRepositoryImpl,5
spring-data-examples,ManagedProduct,4
spring-data-examples,RequiresSolrServer,7
spring-data-examples,UserManagement,12
spring-data-examples,Username,2
spring-data-examples,Password,6
spring-data-examples,User,5
spring-data-examples,UserController,19
spring-data-examples,UserInitializer,7
spring-data-examples,UserRepository,4
spring-retry,PatternMatcher,2
spring-retry,BinaryExceptionClassifier,1
spring-retry,BackToBackPatternClassifier,7
spring-retry,ClassifierAdapter,4
spring-retry,ClassifierSupport,3
spring-retry,PatternMatchingClassifier,3
spring-retry,SubclassClassifier,3
spring-retry,AnnotationMethodResolver,1
spring-retry,SimpleMethodInvoker,3
spring-retry,MethodInvokerUtils,4
spring-retry,RetryConfiguration,24
spring-retry,AnnotationAwareRetryOperationsInterceptor,30
spring-retry,RecoverAnnotationRecoveryHandler,6
spring-retry,ObjectWaitSleeper,1
spring-retry,UniformRandomBackOffPolicy,5
spring-retry,ExponentialBackOffPolicy,8
spring-retry,FixedBackOffPolicy,5
spring-retry,BackOffInterruptedException,1
spring-retry,ExponentialRandomBackOffPolicy,6
spring-retry,NoBackOffPolicy,1
spring-retry,StatelessBackOffPolicy,4
spring-retry,ThreadWaitSleeper,1
spring-retry,RetryContextSupport,2
spring-retry,RetryInterceptorBuilder,19
spring-retry,StatefulRetryOperationsInterceptor,16
spring-retry,RetryOperationsInterceptor,10
spring-retry,FixedKeyGenerator,1
spring-retry,RetryListenerSupport,5
spring-retry,ExhaustedRetryException,1
spring-retry,RetryException,1
spring-retry,TerminatedRetryException,1
spring-retry,RetryCacheCapacityExceededException,1
spring-retry,TimeoutRetryPolicy,4
spring-retry,SimpleRetryPolicy,5
spring-retry,CircuitBreakerRetryPolicy,5
spring-retry,SoftReferenceMapRetryContextCache,3
spring-retry,CompositeRetryPolicy,4
spring-retry,AlwaysRetryPolicy,2
spring-retry,ExceptionClassifierRetryPolicy,7
spring-retry,MapRetryContextCache,3
spring-retry,NeverRetryPolicy,4
spring-retry,DefaultRetryStatisticsFactory,3
spring-retry,DefaultStatisticsRepository,4
spring-retry,ExponentialAverageRetryStatistics,2
spring-retry,StatisticsListener,8
spring-retry,DefaultRetryStatistics,3
spring-retry,RetrySimulation,2
spring-retry,RetryTemplate,17
spring-retry,DefaultRetryState,3
spring-retry,RetrySynchronizationManager,1
spring-retry,RetrySimulator,10
aws-maven,AuthenticationInfoAWSCredentialsProvider,3
aws-maven,AuthenticationInfoAWSCredentialsProviderChain,2
aws-maven,AuthenticationInfoAWSCredentials,2
aws-maven,SimpleStorageServiceWagon,20
aws-maven,IoUtils,1
aws-maven,S3Utils,5
aws-maven,AbstractWagon,14
aws-maven,NullProtectingProxyInfoProvider,3
aws-maven,Region,1
aws-maven,StandardSessionListenerSupport,4
aws-maven,StandardTransferListenerSupport,6
aws-maven,StandardTransferProgress,4
aws-maven,TransferProgressFileInputStream,2
aws-maven,TransferProgressFileOutputStream,2
spring-data-graph,Indexed,2
spring-data-graph,ConfigurationCheck,4
spring-data-graph,DataGraphBeanDefinitionParser,10
spring-data-graph,DataGraphNamespaceHandler,18
spring-data-graph,Neo4jConfiguration,48
spring-data-graph,NullTransactionManager,3
spring-data-graph,DefaultConverter,12
spring-data-graph,QueryResultBuilder,14
spring-data-graph,ResultConverter,4
spring-data-graph,Direction,1
spring-data-graph,UncategorizedGraphStoreException,1
spring-data-graph,AbstractNodeRelationshipFieldAccessor,17
spring-data-graph,ConvertingNodePropertyFieldAccessorFactory,10
spring-data-graph,DefaultEntityState,13
spring-data-graph,DelegatingFieldAccessorFactory,24
spring-data-graph,DetachedEntityState,12
spring-data-graph,DynamicPropertiesContainer,2
spring-data-graph,DynamicPropertiesFieldAccessorFactory,15
spring-data-graph,FieldAccessorFactoryProviders,17
spring-data-graph,IdFieldAccessorFactory,6
spring-data-graph,IndexingPropertyFieldAccessorListenerFactory,20
spring-data-graph,JpaIdFieldAccessListenerFactory,7
spring-data-graph,ManagedFieldAccessorSet,10
spring-data-graph,ManagedPrefixedDynamicProperties,13
spring-data-graph,Neo4jConversionServiceFactoryBean,15
spring-data-graph,NodeDelegatingFieldAccessorFactory,5
spring-data-graph,NodeRelationshipFieldAccessorFactory,3
spring-data-graph,NodeToNodesRelationshipFieldAccessor,12
spring-data-graph,OneToNRelationshipEntityFieldAccessorFactory,17
spring-data-graph,OneToNRelationshipFieldAccessorFactory,16
spring-data-graph,PrefixedDynamicProperties,5
spring-data-graph,PropertyFieldAccessorFactory,9
spring-data-graph,QueryFieldAccessorFactory,10
spring-data-graph,ReadOnlyOneToNRelationshipFieldAccessorFactory,12
spring-data-graph,RelationshipDelegatingFieldAccessorFactory,5
spring-data-graph,RelationshipNodeFieldAccessorFactory,15
spring-data-graph,SingleRelationshipFieldAccessorFactory,15
spring-data-graph,TransientFieldAccessorFactory,7
spring-data-graph,TraversalFieldAccessorFactory,12
spring-data-graph,ValidatingNodePropertyFieldAccessorListenerFactory,15
spring-data-graph,Neo4JMappingContext,10
spring-data-graph,Neo4JPersistentEntityImpl,8
spring-data-graph,Neo4JPersistentPropertyImpl,21
spring-data-graph,RelationshipInfo,9
spring-data-graph,AbstractGraphRepository,26
spring-data-graph,DirectGraphRepositoryFactory,6
spring-data-graph,GraphMetamodelEntityInformation,11
spring-data-graph,GraphRepositoryFactory,34
spring-data-graph,GraphRepositoryFactoryBean,9
spring-data-graph,NodeGraphRepository,10
spring-data-graph,RelationshipGraphRepository,8
spring-data-graph,CypherQuery,6
spring-data-graph,MatchClause,4
spring-data-graph,ProvidedClassPathXmlApplicationContext,3
spring-data-graph,SpringPluginInitializer,11
spring-data-graph,EntityResultConverter,7
spring-data-graph,Neo4jHelper,5
spring-data-graph,NodeEntityInstantiator,5
spring-data-graph,NodeEntityState,10
spring-data-graph,NodeEntityStateFactory,17
spring-data-graph,PartialNodeEntityInstantiator,8
spring-data-graph,PartialNodeEntityState,21
spring-data-graph,ConvertingEntityPath,14
spring-data-graph,EntityEvaluator,8
spring-data-graph,EntityMapper,10
spring-data-graph,EntityPathPathIterableWrapper,8
spring-data-graph,NodePath,5
spring-data-graph,PathMapper,6
spring-data-graph,PathMappingIterator,9
spring-data-graph,RelationshipPath,4
spring-data-graph,DelegatingGraphDatabase,17
spring-data-graph,DoReturn,3
spring-data-graph,GenericTypeExtractor,0
spring-data-graph,GraphBackedEntityIterableWrapper,10
spring-data-graph,GraphDatabaseContext,29
spring-data-graph,GraphDatabaseFactory,4
spring-data-graph,Tuple2,3
spring-data-graph,ConversionServiceQueryResultConverter,4
spring-data-graph,CypherQueryEngine,11
spring-data-graph,CypherQueryExecutor,7
spring-data-graph,EntityResultConverter2,8
spring-data-graph,GremlinExecutor,10
spring-data-graph,GremlinQueryEngine,7
spring-data-graph,RelationshipEntityInstantiator,5
spring-data-graph,RelationshipEntityState,9
spring-data-graph,RelationshipEntityStateFactory,8
spring-data-graph,EntityTypeCache,3
spring-data-graph,IndexingNodeTypeRepresentationStrategy,23
spring-data-graph,IndexingRelationshipTypeRepresentationStrategy,21
spring-data-graph,NoopNodeTypeRepresentationStrategy,5
spring-data-graph,NoopRelationshipTypeRepresentationStrategy,5
spring-data-graph,SubReferenceNodeTypeRepresentationStrategy,25
spring-data-graph,TypeRepresentationStrategyFactory,16
spring-data-graph,GraphCallback,4
spring-data-graph,Neo4jExceptionTranslator,9
spring-data-graph,Neo4jTemplate,36
spring-data-graph,PropertyMap,1
spring-data-graph,Converter,1
spring-data-graph,ChainedTransactionManager,10
spring-data-graph,DefaultSynchronizationManager,1
spring-data-graph,JotmFactoryBean,5
spring-data-graph,MultiTransactionStatus,5
spring-data-graph,SpringProvider,7
spring-data-graph,SpringServiceImpl,7
spring-roo,BackupCommands,7
spring-roo,BackupOperationsImpl,12
spring-roo,CacheCommands,16
spring-roo,CacheOperationsImpl,20
spring-roo,GuavaCacheProvider,10
spring-roo,ConfigurableMetadata,6
