PROJECT,CLASS,COUPLING
spring-data-examples,Username,2
spring-data-examples,PersonRepository,3
spring-data-examples,ApplicationConfiguration,8
spring-data-examples,Application,8
spring-data-examples,CustomerRepository,2
spring-data-examples,UserController,19
spring-data-examples,CustomerRepositoryIntegrationTest,4
spring-data-examples,Customer,3
spring-data-examples,OrderRepository,4
spring-data-examples,Application,6
spring-data-examples,BusinessObject,7
spring-data-examples,AccountRepositoryJdbcImpl,4
spring-data-examples,CustomerSpecifications,13
spring-data-examples,BlogPost,5
spring-data-examples,ActorRepository,2
spring-data-examples,Person,4
spring-data-examples,OrderConfig,8
spring-data-examples,StoredProcedureConfiguration,1
spring-data-examples,StoreRepository,4
spring-data-examples,UserManagement,12
spring-data-examples,Password,6
spring-data-examples,User,11
spring-data-examples,UserController,9
spring-data-examples,UserRepository,4
spring-retry,BinaryExceptionClassifier,1
spring-retry,BackToBackPatternClassifier,7
spring-retry,ClassifierAdapter,4
spring-retry,ClassifierSupport,3
spring-retry,PatternMatchingClassifier,3
spring-retry,RecoverAnnotationRecoveryHandler,6
spring-retry,ExponentialBackOffPolicy,8
spring-retry,FixedBackOffPolicy,5
spring-retry,BackOffInterruptedException,1
spring-retry,ExponentialRandomBackOffPolicy,6
spring-retry,ThreadWaitSleeper,1
spring-retry,RetryInterceptorBuilder,19
spring-retry,StatefulRetryOperationsInterceptor,16
spring-retry,RetryOperationsInterceptor,10
spring-retry,RetryListenerSupport,5
spring-retry,ExhaustedRetryException,1
spring-retry,TerminatedRetryException,1
spring-retry,TerminatedRetryExceptionTests,2
spring-retry,TimeoutRetryPolicy,4
spring-retry,SimpleRetryPolicy,5
spring-retry,SoftReferenceMapRetryContextCache,3
spring-retry,CompositeRetryPolicy,4
spring-retry,AlwaysRetryPolicy,2
spring-retry,ExceptionClassifierRetryPolicy,7
spring-retry,MapRetryContextCache,3
spring-retry,NeverRetryPolicy,4
spring-retry,ExponentialAverageRetryStatistics,2
spring-retry,StatisticsListener,8
spring-retry,RetrySimulation,2
spring-retry,RetryTemplate,17
spring-retry,DefaultRetryState,3
spring-retry,RetrySynchronizationManager,1
aws-maven,SimpleStorageServiceWagon,20
aws-maven,S3Utils,5
aws-maven,AbstractWagon,14
aws-maven,NullProtectingProxyInfoProvider,3
aws-maven,Region,1
aws-maven,StandardSessionListenerSupport,4
